datetime_iso,X_km,Y_km,Z_km,VX_kms,VY_kms,VZ_kms,R_km,GR_drift,MQUDE_drift,delta_R
2025-10-01 00:00:00.000,3421139.8668286013,1354419.9695172834,-255898992.33784828,-2.0708481904196092e-05,2.8548109355298405e-05,2.454083394208277e-05,255925444.0866878,0.0,0.0,0.0
2025-10-04 01:57:33.061,-5081661.352220916,13074361.301597778,-245749113.01943317,-2.070715741386488e-05,2.853747840302759e-05,2.490454408172686e-05,246149118.94090036,-9776325.145787448,-9776325.145787448,-9776325.145787448
2025-10-07 03:55:06.122,-13581152.40266846,24785908.4017128,-235444229.3200917,-2.0691849851839773e-05,2.8506508663153103e-05,2.529574626707643e-05,237134506.29550844,-18790937.79117936,-18790937.79117936,-18790937.79117936
2025-10-10 05:52:39.184,-22070949.306155324,36479812.00679882,-224973300.6493124,-2.0659392980706485e-05,2.8450779662123705e-05,2.5712994516589328e-05,228977923.5917126,-26947520.49497521,-26947520.49497521,-26947520.49497521
2025-10-13 07:50:12.245,-30543338.14665217,48144973.52429203,-214326202.18719983,-2.0606512267887115e-05,2.8365757761581253e-05,2.615321574315984e-05,221780420.5171953,-34145023.56949249,-34145023.56949249,-34145023.56949249
2025-10-16 09:47:45.306,-38989284.07269969,59768475.3817828,-203494458.4381252,-2.053010310855694e-05,2.824719488842784e-05,2.6611409716489285e-05,215644219.80890262,-40281224.27778518,-40281224.27778518,-40281224.27778518
2025-10-19 11:45:18.367,-47398575.54601918,71335803.90781464,-192472068.9237357,-2.042760800985064e-05,2.8091662407369796e-05,2.708051951267217e-05,210667793.4539334,-45257650.632754415,-45257650.632754415,-45257650.632754415
2025-10-22 13:42:51.429,-55760137.58055701,82831309.96675645,-181256332.27596855,-2.0297452307068422e-05,2.789716049153402e-05,2.7551586737403107e-05,206939790.38345394,-48985653.70323387,-48985653.70323387,-48985653.70323387
2025-10-25 15:40:24.490,-64062522.46958438,94238916.03671598,-169848533.1418409,-2.0139456099248526e-05,2.766368521839259e-05,2.801427232101381e-05,204532404.0130958,-51393040.07359201,-51393040.07359201,-51393040.07359201
2025-10-28 17:37:57.551,-72294545.88892859,105543020.86786906,-158254339.3687089,-1.9955111096601128e-05,2.7393596931426045e-05,2.8457736027623776e-05,203495126.5957697,-52430317.4909181,-52430317.4909181,-52430317.4909181
2025-10-31 19:35:30.612,-80445990.5271017,116729489.1646232,-146483784.5135815,-1.974761861450557e-05,2.709164698379077e-05,2.887174490318158e-05,203850018.78327557,-52075425.30341223,-52075425.30341223,-52075425.30341223
2025-11-03 21:33:03.673,-88508266.6249342,127786569.4725856,-134550787.33632427,-1.9521640472371127e-05,2.676460064473473e-05,2.9247775714346767e-05,205589481.6651551,-50335962.42153269,-50335962.42153269,-50335962.42153269
2025-11-06 23:30:36.735,-96474916.44658583,138705582.6679872,-122472265.2493177,-1.928280194037546e-05,2.642051753996572e-05,2.9579850368195208e-05,208677032.56932896,-47248411.51735884,-47248411.51735884,-47248411.51735884
2025-11-10 01:28:09.796,-104341883.03543398,149481272.62609884,-110266993.14681664,-1.903706472477553e-05,2.606786006280669e-05,2.9864921454075217e-05,213050907.5290185,-42874536.55766931,-42874536.55766931,-42874536.55766931
2025-11-13 03:25:42.857,-112107520.4903988,160111791.7985068,-97954405.18949392,-1.8790119100391605e-05,2.571464044689592e-05,3.010277162571159e-05,218629704.11053738,-37295739.97615042,-37295739.97615042,-37295739.97615042
2025-11-16 05:23:15.918,-119772380.3977338,170598374.822862,-85553521.55642591,-1.8546916983876657e-05,2.536777534909843e-05,3.0295531847417375e-05,225318959.808195,-30606484.27849281,-30606484.27849281,-30606484.27849281
2025-11-19 07:20:48.980,-127338846.6439848,180944804.7021227,-73082120.7033234,-1.831140416081012e-05,2.5032725497695364e-05,3.044699932360624e-05,233017597.14623427,-22907846.94045353,-22907846.94045353,-22907846.94045353
2025-11-22 09:18:22.041,-134810700.94532973,191156788.48289832,-60556201.62866554,-1.808644512628965e-05,2.471340691491073e-05,3.0561932992421007e-05,241623460.0119745,-14301984.07471329,-14301984.07471329,-14301984.07471329
2025-11-25 11:15:55.102,-142192689.25412586,201241340.71412024,-47989717.70133792,-1.787389269009092e-05,2.4412303406562535e-05,3.064545009453049e-05,251037549.17300946,-4887894.913678348,-4887894.913678348,-4887894.913678348
2025-11-28 13:13:28.163,-149490136.07889178,211206239.54064417,-35394526.799880914,-1.7674741900318937e-05,2.413069390241696e-05,3.070258025902036e-05,261166898.61690557,5241454.530217767,5241454.530217767,5241454.530217767
2025-12-01 15:11:01.224,-156708630.0487473,221059586.6511373,-22780490.94777071,-1.7489315656246043e-05,2.3868920506484187e-05,3.073798059671413e-05,271926251.6748765,16000807.588188708,16000807.588188708,16000807.588188708
2025-12-04 17:08:34.286,-163853785.71000755,230809476.6204462,-10155664.122241618,-1.7317445865745993e-05,2.362664703432527e-05,3.075578535620283e-05,283238795.1942127,27313351.10752487,27313351.10752487,27313351.10752487
2025-12-07 19:06:07.347,-170931075.18059772,240463765.5242776,2473479.579627135,-1.715863047419014e-05,2.340308123826761e-05,3.0759553482613035e-05,295036223.3586594,39110779.27197158,39110779.27197158,39110779.27197158
2025-12-10 21:03:40.408,-177945717.92028314,250029921.51114315,15101810.292176886,-1.701215907860079e-05,2.3197151305093032e-05,3.07522793455626e-05,307258368.23613816,51332924.14945036,51332924.14945036,51332924.14945036
2025-12-13 23:01:13.469,-184902615.598723,259514938.5311638,27725319.25868319,-1.687720745402535e-05,2.3007637749019737e-05,3.0736439142416324e-05,319852581.518547,63927137.431859195,63927137.431859195,63927137.431859195
2025-12-17 00:58:46.531,-191806320.0612569,268925296.08488095,40340918.65133961,-1.675290509494746e-05,2.283326693862088e-05,3.071405366879104e-05,332772999.2163069,76847555.12961912,76847555.12961912,76847555.12961912
2025-12-20 02:56:19.592,-198661024.40083244,278266950.8363944,52946268.322303176,-1.6638381137830368e-05,2.2672774104508924e-05,3.068675517668696e-05,345979776.6821492,90054332.59546137,90054332.59546137,90054332.59546137
2025-12-23 04:53:52.653,-205470569.35425165,287545349.138728,65539629.56929817,-1.653279390612635e-05,2.252494337293052e-05,3.065585127307965e-05,359438347.60102344,103512903.51433563,103512903.51433563,103512903.51433563
2025-12-26 06:51:25.714,-212238459.25150907,296765452.3994932,78119743.88397062,-1.6435348572053533e-05,2.2388631234033143e-05,3.06223823466258e-05,373118736.7418414,117193292.65515357,117193292.65515357,117193292.65515357
2025-12-29 08:48:58.776,-218967883.40403995,305931769.5695399,90685733.699957,-1.6345306507216912e-05,2.2262778502758367e-05,3.0587171213438064e-05,386994940.39469665,131069496.30800885,131069496.30800885,131069496.30800885
2026-01-01 10:46:31.837,-225661740.10128123,315048392.84953296,103237021.90588792,-1.6261989021101408e-05,2.214641457131505e-05,3.055086493827617e-05,401044378.43536544,145118934.34867764,145118934.34867764,145118934.34867764
2026-01-04 12:44:04.898,-232322661.3371067,324119034.0460128,115773267.02109778,-1.6184777452662174e-05,2.203865670387508e-05,3.051396944090402e-05,415247416.0767467,159321971.9900589,159321971.9900589,159321971.9900589
2026-01-07 14:41:37.959,-238953037.0710798,333147059.96246165,128294311.2491157,-1.6113111004302287e-05,2.1938706306985635e-05,3.047687777651926e-05,429586950.20450735,173661506.11781955,173661506.11781955,173661506.11781955
2026-01-10 16:39:11.020,-245555038.3066513,342135525.8731169,140800139.00760984,-1.60464832752881e-05,2.184584349940476e-05,3.04398930441626e-05,444048053.75861907,188122609.67193127,188122609.67193127,188122609.67193127
2026-01-13 18:36:44.082,-252130638.59330437,351087206.5751419,153290843.91795576,-1.5984438137435595e-05,2.175942086406828e-05,3.040324682940495e-05,458617671.2331121,202692227.1464243,202692227.1464243,202692227.1464243
2026-01-16 20:34:17.143,-258681633.7751316,360004624.8094821,165766602.59040004,-1.5926565372995663e-05,2.1678856953626863e-05,3.0367113988501674e-05,473284358.57436794,217358914.48768014,217358914.48768014,217358914.48768014
2026-01-19 22:31:50.204,-265209659.94696432,368890077.02838296,178227653.84862348,-1.5872496339714984e-05,2.160362990574523e-05,3.033162446542404e-05,488038061.27757645,232112617.19088864,232112617.19088864,232112617.19088864
2026-01-23 00:29:23.265,-271716209.6648405,377745656.6018276,190674282.2977427,-1.582189982230244e-05,2.153327137830175e-05,3.02968727192406e-05,502869925.1356485,246944481.0489607,246944481.0489607,246944481.0489607
2026-01-26 02:26:56.327,-278202646.507448,386573274.6200959,203106805.3552394,-1.5774478158695278e-05,2.1467360917440804e-05,3.0262925236043955e-05,517772134.78118277,261846690.69449496,261846690.69449496,261846690.69449496
2026-01-29 04:24:29.388,-284670218.1112412,395374678.4820868,215525563.0401801,-1.5729963683044813e-05,2.140552080818706e-05,3.022982651031266e-05,532737775.8223099,276812331.7356221,276812331.7356221,276812331.7356221
2026-02-01 06:22:02.449,-291120067.81257176,404151468.4705875,227930909.9582475,-1.5688115497633314e-05,2.13474114173344e-05,3.0197603805627705e-05,547760716.9782472,291835272.89155936,291835272.89155936,291835272.89155936
2026-02-04 08:19:35.510,-297553245.03111345,412905112.51424855,240323209.03425908,-1.564871656760631e-05,2.1292727014021157e-05,3.0166270942943387e-05,562835509.1582924,306910065.0716046,306910065.0716046,306910065.0716046
2026-02-07 10:17:08.571,-303970714.52393323,421636959.3268892,252702826.63509652,-1.5611571121697125e-05,2.1241192039544496e-05,3.0135831314474624e-05,577957298.8967117,322031854.8100239,322031854.8100239,322031854.8100239
2026-02-10 12:14:41.633,-310373364.6313599,430348250.1014608,265070128.79869905,-1.5576502336434478e-05,2.1192557790939624e-05,3.010628028090031e-05,593121753.9589485,337196309.8722607,337196309.8722607,337196309.8722607
2026-02-13 14:12:14.694,-316762014.6259603,439040128.9207595,277425478.3426511,-1.554335027887846e-05,2.1146599480185667e-05,3.0077607077292143e-05,608324999.2777734,352399555.1910856,352399555.1910856,352399555.1910856
2026-02-16 16:09:47.755,-323137421.2655567,447713652.0312607,289769232.6718962,-1.551197008252376e-05,2.1103113630949205e-05,3.004979632745247e-05,623563561.6684014,367638117.58171356,367638117.58171356,367638117.58171356
2026-02-19 18:07:20.816,-329500284.6409388,456369796.1111119,302101742.1416873,-1.5482230331831172e-05,2.1061915776425365e-05,3.002282924590177e-05,638834322.0162799,382908877.92959213,382908877.92959213,382908877.92959213
2026-02-22 20:04:53.878,-335851253.3991459,465009465.6488483,314423348.8609536,-1.5454011632367932e-05,2.102283842436608e-05,2.999668459053827e-05,654134473.8367958,398209029.750108,398209029.750108,398209029.750108
2026-02-25 22:02:26.939,-342190929.4141183,473633499.5360768,326734385.8444045,-1.5427205345404156e-05,2.098572925832129e-05,2.997133941613142e-05,669461487.2785507,413536043.19186294,413536043.19186294,413536043.19186294
2026-03-01 00:00:00.000,-348519871.9682391,482242676.9652757,339035176.44010633,-1.5401712467806486e-05,2.095044954717084e-05,2.9946769668616077e-05,684813077.7863162,428887633.69962835,428887633.69962835,428887633.69962835
