datetime_iso,X_km,Y_km,Z_km,VX_kms,VY_kms,VZ_kms
2025-10-01 00:00:00.000,3421139.8668,1354419.9695,-255898992.3378,-2.0708e-05,2.8548e-05,2.4541e-05
2025-10-04 00:00:00.000,-5081661.3522,13074361.3016,-245749113.0194,-2.0707e-05,2.8537e-05,2.4905e-05
2025-10-07 00:00:00.000,-13581152.4027,24785908.4017,-235444229.3201,-2.0692e-05,2.8507e-05,2.5296e-05
2025-10-10 00:00:00.000,-22070949.3062,36479812.0068,-224973300.6493,-2.0659e-05,2.8451e-05,2.5713e-05
2025-10-13 00:00:00.000,-30543338.1467,48144973.5243,-214326202.1872,-2.0607e-05,2.8366e-05,2.6153e-05
2025-10-16 00:00:00.000,-38989284.0727,59768475.3818,-203494458.4381,-2.053e-05,2.8247e-05,2.6611e-05
2025-10-19 00:00:00.000,-47398575.546,71335803.9078,-192472068.9237,-2.0428e-05,2.8092e-05,2.7081e-05
2025-10-22 00:00:00.000,-55760137.5806,82831309.9668,-181256332.276,-2.0297e-05,2.7897e-05,2.7552e-05
2025-10-25 00:00:00.000,-64062522.4696,94238916.0367,-169848533.1418,-2.0139e-05,2.7664e-05,2.8014e-05
2025-10-28 00:00:00.000,-72294545.8889,105543020.8679,-158254339.3687,-1.9955e-05,2.7394e-05,2.8458e-05
